Country,Gold,Silver,Bronze,Total
Germany,0,1,2,3
United States,3,0,0,3
United Kingdom,0,3,0,3
France,0,2,1,3
Japan,3,0,0,3
Canada,0,0,3,3
Switzerland,0,0,3,3
India,0,2,1,3
China,3,0,0,3
Saudi Arabia,0,1,1,2
South Korea,0,0,1,1
Argentina,0,0,0,0
Peru,0,0,0,0
Panama,0,0,0,0
Pakistan,0,0,0,0
Nigeria,0,0,0,0
Oman,0,0,0,0
Norway,0,0,0,0
Poland,0,0,0,0
New Zealand,0,0,0,0
Netherlands,0,0,0,0
Monaco,0,0,0,0
Mexico,0,0,0,0
Malta,0,0,0,0
Philippines,0,0,0,0
Romania,0,0,0,0
Portugal,0,0,0,0
Qatar,0,0,0,0
Macau,0,0,0,0
Russia,0,0,0,0
Singapore,0,0,0,0
South Africa,0,0,0,0
Spain,0,0,0,0
Sudan,0,0,0,0
Sweden,0,0,0,0
Taiwan,0,0,0,0
Thailand,0,0,0,0
Turkey,0,0,0,0
USA,0,0,0,0
United Arab Emirates,0,0,0,0
Uruguay,0,0,0,0
Malaysia,0,0,0,0
Kazakhstan,0,0,0,0
Luxembourg,0,0,0,0
Lithuania,0,0,0,0
Denmark,0,0,0,0
Czech Republic,0,0,0,0
Cyprus,0,0,0,0
Costa Rica,0,0,0,0
Colombia,0,0,0,0
Chile,0,0,0,0
Cayman Islands,0,0,0,0
Cambodia,0,0,0,0
British Virgin Islands,0,0,0,0
Brazil,0,0,0,0
Bermuda,0,0,0,0
Belgium,0,0,0,0
Bahrain,0,0,0,0
Bahamas,0,0,0,0
Austria,0,0,0,0
Egypt,0,0,0,0
Estonia,0,0,0,0
Finland,0,0,0,0
Isle of Man,0,0,0,0
Kuwait,0,0,0,0
Australia,0,0,0,0
Jordan,0,0,0,0
Jersey,0,0,0,0
Italy,0,0,0,0
Israel,0,0,0,0
Ireland,0,0,0,0
Gibraltar,0,0,0,0
Indonesia,0,0,0,0
Iceland,0,0,0,0
Hungary,0,0,0,0
Hong Kong,0,0,0,0
Guernsey,0,0,0,0
Greece,0,0,0,0
Vietnam,0,0,0,0
